year;white;white_elo;black;black_elo;result;eco;moves
2024;So;2757;Gukesh;2763;Empate;E52;1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 0-0 5.Bd3 d5 6.Nf3 dxc4 7.Bxc4 b6 8.a3 Bxc3+
2024;Aronian;2729;Gukesh;2763;Derrota;B30;1.e4 c5 2.Nf3 Nc6 3.Bb5 Nf6 4.Nc3 Nd4 5.e5 Nxb5 6.Nxb5 Nd5 7.0-0 a6 8.c4 Nb4
2024;Gukesh;2763;Abdusattorov;2766;Empate;D02;1.d4 d5 2.Nf3 Nf6 3.g3 c6 4.Bg2 Bf5 5.Nh4 Be6 6.0-0 g6 7.Nd2 Bg7 8.c3 0-0
2024;Gukesh;2763;Aronian;2729;Derrota;D00;1.d4 Nf6 2.Bg5 d5 3.e3 c5 4.Bxf6 gxf6 5.Bb5+ Bd7 6.Bxd7+ Nxd7 7.Ne2 e6 8.Nd2 cxd4
2024;Firouzja;2744;Gukesh;2763;Derrota;B33;1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 e5 5.Nb5 d6 6.N1c3 a6 7.Na3 Be6 8.Nc4 Nf6
2024;Aronian;2729;Gukesh;2763;Derrota;C50;1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6 5.h3 d6 6.a4 a6 7.c3 0-0 8.Nbd2 Re8
2024;Gukesh;2763;Giri;2745;Empate;E49;1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 0-0 5.Bd3 d5 6.a3 Bxc3+ 7.bxc3 dxc4 8.Bxc4 c5
2024;Nepomniachtchi;2770;Gukesh;2763;Empate;C64;1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Bc5 5.0-0 Nge7 6.c3 Ng6 7.d4 Ba7 8.Bg5 f6
2024;Vidit;2720;Gukesh;2763;Derrota;A17;1.Nf3 Nf6 2.c4 e6 3.Nc3 d5 4.e3 b6 5.b3 Bb7 6.Bb2 Nbd7 7.g3 dxc4 8.bxc4 Nc5
2024;Vachier Lagrave;2718;Gukesh;2763;Derrota;C70;1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nge7 5.c3 Ng6 6.d4 exd4 7.cxd4 Bb4+ 8.Nc3 d5
2024;Gukesh;2763;Vidit;2720;Derrota;C47;1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.h3 Bb4 5.Bd3 0-0 6.0-0 d6 7.Ne2 Re8 8.c4 Bc5
2024;Gukesh;2763;Vachier Lagrave;2718;Derrota;D00;1.d4 Nf6 2.Bf4 d5 3.e3 c5 4.c3 e6 5.Nd2 Nc6 6.Bd3 Bd6 7.Bxd6 Qxd6 8.f4 cxd4
2024;Gukesh;2763;Praggnanandhaa;2747;Empate;E04;1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4 5.Nf3 Bb4+ 6.Bd2 a5 7.a3 Bxd2+ 8.Nbxd2 b5
2024;Gukesh;2763;Vidit;2720;Empate;C44;1.e4 e5 2.Nf3 Nc6 3.g3 Nf6 4.d3 Bc5 5.Bg2 d6 6.0-0 0-0 7.h3 a5 8.c4 h6
2024;Vachier Lagrave;2718;Gukesh;2763;Vitoria;B30;1.e4 c5 2.Nf3 Nc6 3.Bc4 Nf6 4.e5 d5 5.Bb5 Ng8 6.d4 e6 7.c3 Bd7 8.Ba4 cxd4
2024;Vachier Lagrave;2732;Gukesh;2763;Empate;C89;1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Be7 6.Re1 b5 7.Bb3 0-0 8.c3 d5
2024;Firouzja;2737;Gukesh;2763;Empate;D20;1.d4 d5 2.c4 dxc4 3.e4 e5 4.Nf3 exd4 5.Bxc4 Bb4+ 6.Nbd2 Nc6 7.0-0 Nf6 8.e5 Nd5
2024;Gukesh;2763;Saric;2690;Empate;D78;1.Nf3 d5 2.g3 g6 3.Bg2 Bg7 4.0-0 Nf6 5.c4 c6 6.b3 Ne4 7.d4 0-0 8.Bb2 a5
2024;Saric;2690;Gukesh;2763;Vitoria;B51;1.e4 c5 2.Nf3 Nc6 3.Bb5 d6 4.0-0 Bd7 5.Re1 Nf6 6.c3 a6 7.Bf1 Bg4 8.d4 cxd4
2024;Gukesh;2763;Saric;2690;Vitoria;B91;1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.g3 e5 7.Nde2 Be7 8.Bg2 b5
2024;Gukesh;2764;Carlsen;2830;Derrota;B07;1.e4 g6 2.d4 d6 3.Nc3 c6 4.Be3 Nf6 5.Qd2 Nbd7 6.f3 b5 7.h4 Nb6 8.Bd3 h5
2024;Carlsen;2830;Gukesh;2764;Derrota;D02;1.Nf3 d5 2.g3 Nc6 3.d4 Bf5 4.Nh4 Bg4 5.Bg2 e6 6.0-0 Be7 7.h3 Bh5 8.Nf3 Nf6
2024;Gukesh;2764;Carlsen;2830;Empate;C57;1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 b5 6.Bf1 Nxd5 7.Bxb5 Bb7 8.d4 exd4
2024;Abdusattorov;2766;Gukesh;2764;Empate;C45;1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Qf6 5.Be3 Bc5 6.c3 Nge7 7.Bc4 d6 8.0-0 0-0
2024;Erigaisi;2762;Gukesh;2764;Vitoria;A21;1.c4 e5 2.Nc3 Bb4 3.Nd5 a5 4.Nf3 d6 5.g3 c6 6.Nxb4 axb4 7.d4 e4 8.Nd2 Nf6
2024;Gukesh;2764;Abdusattorov;2766;Derrota;B08;1.d4 Nf6 2.Bg5 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 0-0 6.Qd2 a6 7.0-0-0 b5 8.Bd3 b4
2024;Gukesh;2764;Erigaisi;2762;Derrota;D44;1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Nc3 c6 5.Bg5 dxc4 6.e4 b5 7.e5 h6 8.Bh4 g5
2024;Gukesh;2764;Wei;2755;Derrota;A48;1.d4 Nf6 2.Bf4 g6 3.e3 Bg7 4.Nf3 0-0 5.h4 d6 6.Nbd2 Nc6 7.c3 Qe8 8.Bc4 e5
2024;Erigaisi;2762;Gukesh;2764;Empate;D02;1.Nf3 d5 2.g3 Nc6 3.d4 Bf5 4.Bg2 e6 5.0-0 Nb4 6.Ne1 Be7 7.c4 Nf6 8.a3 Nc6
2024;Wei;2755;Gukesh;2764;Vitoria;A13;1.Nf3 d5 2.e3 Nf6 3.c4 e6 4.b3 b6 5.Bb2 Bb7 6.Nc3 g6 7.g3 Bg7 8.Bg2 0-0
2024;Abdusattorov;2766;Gukesh;2764;Derrota;C27;1.e4 e5 2.Bc4 Nf6 3.Nc3 Bc5 4.d3 c6 5.Nf3 d6 6.0-0 0-0 7.Bb3 a5 8.Be3 Bxe3
